6 18 6
1937  2354  1519  1893  2191  1748
803   480   631   334   483   172
850   732   109   277   415   358
101   729   734   522   105   725
349   872   779   501   792   117
499   263   958   214   718   121
705   593    62   474   269   923
810   802    44   583  1000   214
973   157     0   387   769   789
109   676   323   862   542   571
 98   984   451   472   597   909
712   255   201   790   201   250
765   199   685   199   686    18
364   702   285   193   402   302
 62   366   517   324   173    21
143   601   392   887   810   875
534   684   203   227   496   715
183   786   352   350   916   666
547   577    24   817   362    20
