data;

param m := 6;
param n := 18;
param k := 6;

param b := 
   1 1726  
   2 1138  
   3 1301  
   4 1192  
   5 1860  
   6 1578;

param A : 1 2 3 4 5 6 :=
1 991    82   474   622   924   336
2 352   812   283   319   931   640
3 784   371     3   889   405   439
4 913     3   703   815   678   939
5  8    67    17   203   122   373
6 947    17    69   227   840     1
7 102   321   670    49   719   845
8 929   903   575    69   502   814
9 716   361    24    57   263   427
10 608   885   998   454   824   292
11 359   111   442    28   813   817
12 328   632   926   899   622   677
13 124   587   370   198   763   625
14 372   276    11   709   146   930
15  15   391   252   302   758   262
16 980   869    37   234   830   353
17 937    65   977   897   644   573
18 886    74   972   180   375   121;

